file,run,bandwidth_MiB_s,iops,avg_cpu_percent
smallfile_1_job,luks_encryption_results,200.08203125,38.587269,0.949487
smallfile_1_job_5g,luks_encryption_results,200.140625,38.286581,0.9279249999999999
smallfile_2_jobs,luks_encryption_results,200.71484375,39.02988,0.48284000000000005
smallfile_2_jobs_5g,luks_encryption_results,200.669921875,38.793957,0.475889
smallfile_3_jobs,luks_encryption_results,200.9873046875,39.548476,0.321056
smallfile_3_jobs_5g,luks_encryption_results,200.9599609375,39.162901,0.323844
smallfile_4_jobs,luks_encryption_results,201.0263671875,40.114053,0.24976900000000002
smallfile_4_jobs_5g,luks_encryption_results,201.0087890625,39.855248,0.243323
smallfile_1_job,no_encryption_results,3985.9560546875,791.973601,32.392793
smallfile_1_job_5g,no_encryption_results,3982.8896484375,788.72723,32.640578
smallfile_2_jobs,no_encryption_results,4044.9912109375,805.447341,20.572566000000002
smallfile_2_jobs_5g,no_encryption_results,4036.2353515625,800.156453,20.554603
smallfile_3_jobs,no_encryption_results,4056.3076171875,807.695507,19.273133
smallfile_3_jobs_5g,no_encryption_results,4039.2568359375,800.372669,19.120322
smallfile_4_jobs,no_encryption_results,4086.65234375,815.471046,18.506189
smallfile_4_jobs_5g,no_encryption_results,4076.111328125,809.220589,18.712118
smallfile_1_job,sed_encryption_results,4019.408203125,798.653917,32.661391
smallfile_1_job_5g,sed_encryption_results,3976.9150390625,787.540415,32.827785999999996
smallfile_2_jobs,sed_encryption_results,4082.984375,812.844373,20.459634
smallfile_2_jobs_5g,sed_encryption_results,4067.748046875,806.550393,20.644945999999997
smallfile_3_jobs,sed_encryption_results,4072.126953125,811.08874,19.348898
smallfile_3_jobs_5g,sed_encryption_results,4062.36328125,805.233477,19.725137
smallfile_4_jobs,sed_encryption_results,4249.1640625,847.446918,18.75699
smallfile_4_jobs_5g,sed_encryption_results,4255.9287109375,845.609018,18.688733
